category,category_avg_price,category_avg_rating,category_avg_reviews
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,2339.0,3.8,
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,221.5,4.15,
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,649.0,3.5,
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,574.0,3.5999999999999996,
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,749.0,4.05,
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,1940.0,4.199999999999999,
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,99.0,4.033333333333333,
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,499.0,4.4,
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,262.5,4.4,
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,349.0,3.9,817.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,360.7236909871244,4.151931330472103,415.3050847457627
Computers&Accessories|Accessories&Peripherals|HardDiskBags,298.3333333333333,4.333333333333333,
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,199.0,4.1,
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",569.8181818181819,3.9818181818181815,258.0
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",77.0,3.4,
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",368.625,4.375,491.0
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",1188.7,4.05,427.0
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",1282.4,4.12,
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",609.3333333333334,4.2875000000000005,23.0
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,1399.0,4.3,
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,360.6666666666667,4.25,
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,122.33333333333333,4.3,255.0
